ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
a47r,0.5244140625,0.12,1.2335289949014634,0.521484375,0.234,0.7682633474251422,0.51171875,0.361,0.4101229146475591,0.6455078125,0.0,7.811804702561516,0.638671875,0.0,4.948884383992539,0.599609375,0.0,3.8012251437383133,0.5146484375,0.233,0.7220592749272132,0.5283203125,0.06,1.5100665208737427,0.625,0.0,6.754890591886003,0.5615234375
6r,0.54296875,0.012,2.2481997886093112,0.580078125,0.002,2.890819506226674,0.52734375,0.152,1.0479240341050615,0.705078125,0.0,10.516132583370931,0.658203125,0.0,5.6069787096737675,0.693359375,0.0,7.494839070018396,0.51953125,0.152,1.0047187643279143,0.5244140625,0.091,1.3484576100150485,0.677734375,0.0,9.844677568791205,0.5891927083333334
IFJa,0.591796875,0.0,4.731982231716853,0.623046875,0.0,4.475825930581718,0.578125,0.001,2.8587772534699347,0.720703125,0.0,11.925282201334543,0.728515625,0.0,8.663538163637812,0.701171875,0.0,7.178662633260806,0.5419921875,0.014,2.148223766224315,0.5859375,0.0,4.346506566874243,0.6943359375,0.0,9.943795789104298,0.6181640625
IFJp,0.5234375,0.115,1.1811228540390257,0.5703125,0.01,2.441070900433205,0.529296875,0.167,1.0027228706760904,0.759765625,0.0,13.294058496996321,0.759765625,0.0,9.68311621889006,0.7421875,0.0,8.675348657210655,0.513671875,0.254,0.6946257009989172,0.5244140625,0.101,1.3507983915099666,0.740234375,0.0,12.380550145739821,0.5989583333333334
IFSp,0.60546875,0.0,5.596989062117744,0.609375,0.0,3.8366385543155204,0.60546875,0.0,3.8890304962738846,0.7197265625,0.0,11.433023866416352,0.66015625,0.0,5.933951752815814,0.7421875,0.0,8.933615966279895,0.54296875,0.017,2.1926604365337368,0.5634765625,0.0,3.3139058425974777,0.6943359375,0.0,10.61422115058319,0.6227213541666666
IFSa,0.6103515625,0.0,5.771234116839737,0.5859375,0.001,3.2255177088563864,0.60546875,0.001,3.895812052275473,0.638671875,0.0,7.237625033357873,0.591796875,0.0,3.569866456073128,0.580078125,0.001,3.0046790227425793,0.478515625,0.859,-1.0903700686516904,0.6025390625,0.0,5.424767500845762,0.59765625,0.0,5.135677216829095,0.5758463541666666
p9-46v,0.564453125,0.002,3.3638826051379884,0.525390625,0.201,0.9440423170901521,0.58984375,0.0,3.4571094345790385,0.6982421875,0.0,10.278687125580998,0.703125,0.0,7.707229260145891,0.64453125,0.0,5.205050518344415,0.53125,0.053,1.6226007772250932,0.53125,0.045,1.7249050822532346,0.658203125,0.0,8.573163629563052,0.5979817708333334
46,0.5703125,0.0,3.789879960697677,0.54296875,0.053,1.5870498279907785,0.572265625,0.005,2.6926730475738188,0.6611328125,0.0,8.447280637675014,0.6328125,0.0,5.038782324347308,0.626953125,0.0,4.907202036226859,0.4716796875,0.946,-1.5172992945675199,0.5654296875,0.0,3.538367011695171,0.6376953125,0.0,7.43194946713232,0.5677083333333334
a9-46v,0.552734375,0.002,2.7746975613405582,0.53125,0.133,1.1642622175296389,0.5859375,0.0,3.141802064837871,0.6298828125,0.0,6.970720193541759,0.599609375,0.001,3.69909558982658,0.61328125,0.0,4.137922439340234,0.4833984375,0.826,-0.8695289547970505,0.5546875,0.002,2.8004352448591203,0.61328125,0.0,6.205546898366459,0.5553385416666666
9-46d,0.529296875,0.067,1.50982215028805,0.541015625,0.055,1.5475446840383975,0.576171875,0.003,2.7492318147724277,0.6708984375,0.0,8.96064032402338,0.6328125,0.0,4.997147622542296,0.640625,0.0,5.331658172365883,0.4951171875,0.597,-0.18923856772757275,0.5400390625,0.016,2.1740268728024255,0.6552734375,0.0,8.356194447009631,0.5651041666666666
9a,0.5615234375,0.0,3.1256021235290534,0.525390625,0.183,0.9139891421906181,0.576171875,0.002,2.741634964814614,0.599609375,0.0,5.1003064840771115,0.6015625,0.0,3.6418365159263457,0.564453125,0.006,2.372967252612983,0.4990234375,0.518,-0.03257786814357652,0.51953125,0.163,1.0209284748501022,0.607421875,0.0,5.81425953486605,0.5533854166666666
10v,0.5224609375,0.12,1.1803483465168203,0.544921875,0.053,1.627150666700517,0.48828125,0.668,-0.43445817253208807,0.521484375,0.151,1.071424830190577,0.52734375,0.168,1.0458429104840514,0.51953125,0.232,0.7204165626979748,0.5,0.508,0.02137257697434463,0.5224609375,0.112,1.2525682347302338,0.533203125,0.041,1.7369704813312554,0.5146484375
a10p,0.4794921875,0.856,-1.067689507319417,0.470703125,0.865,-1.0649539038737859,0.478515625,0.797,-0.8125029786647513,0.623046875,0.0,6.163500986794703,0.630859375,0.0,4.698115564425541,0.591796875,0.0,3.4376109142581504,0.505859375,0.371,0.3634715957661716,0.498046875,0.543,-0.08407439637270106,0.625,0.0,6.607316887280608,0.5361328125
10pp,0.490234375,0.703,-0.5108279409117232,0.4921875,0.641,-0.3248825155394773,0.484375,0.711,-0.5513990206254429,0.5732421875,0.001,3.788545984057504,0.53515625,0.11,1.2617334976530001,0.5546875,0.025,2.056352488306765,0.4990234375,0.525,-0.03942327916917934,0.470703125,0.942,-1.5667154571730766,0.537109375,0.022,1.9691749601392807,0.5208333333333334
11l,0.560546875,0.003,3.1183150583154156,0.5703125,0.006,2.5579258885499887,0.5,0.507,0.008669339986060285,0.6025390625,0.0,5.574633412074516,0.609375,0.0,4.1466192377762,0.587890625,0.0,3.4924761598156877,0.5107421875,0.291,0.5441491309160528,0.546875,0.003,2.5889418196136207,0.6025390625,0.0,5.450155093200723,0.5579427083333334
13l,0.5439453125,0.01,2.3176606091782155,0.548828125,0.032,1.817143098795943,0.533203125,0.11,1.2576212228962476,0.58984375,0.0,4.545808830073281,0.599609375,0.0,3.753088289672537,0.58203125,0.004,3.2221674855993037,0.53125,0.05,1.6929765522448434,0.50390625,0.431,0.2238734135381507,0.57421875,0.0,4.019544702267241,0.5550130208333334
OFC,0.4892578125,0.712,-0.5667895544620216,0.50390625,0.45,0.17801002611500702,0.486328125,0.715,-0.4710879084787897,0.541015625,0.009,2.2491428217350014,0.552734375,0.023,2.015510864381941,0.509765625,0.358,0.38852561738582664,0.505859375,0.384,0.31578463854157607,0.482421875,0.846,-1.0090639885688515,0.517578125,0.153,1.0095932866868165,0.5120442708333334
